IDオプション,オプション名,単価,説明,有効,外部コード
20260122205222_E07C5B3E,被布着付け,4400,※3歳は被布でのお着付けとなります。,TRUE,OP001
20260122205222_4959FA9C,羽織袴着付け,5500,,TRUE,OP002
20260122205222_F735435B,着物（作り帯）着付け,6600,※当店着付けの場合は作り帯のみとなります。,TRUE,OP003
20260122205222_CC3481D5,着物（結び帯）着付け,8800,※持ち込み着物が結び帯の場合はこちらをご選択ください。,TRUE,OP004
20260122205222_C239EBF0,日本髪,1100,,TRUE,OP005
20260122205222_0135B48D,お母様ヘアセット,4400,,TRUE,OP006
20260122205222_A2E78B7A,お母様フェイスメイク,3300,,TRUE,OP007
20260122205222_88F96FD9,お父様ヘアセット,2200,,TRUE,OP008
20260122205222_3B60CFC2,お母様着付け,7700,※月曜日は不可となります。,TRUE,OP009
20260122205222_75D70EC7,お父様着付け（ヘアセット込）,7700,※月曜日は不可となります。,TRUE,OP010